,G,Per,Time,Str,Team,Goal Scorer,Assist,Assist.1,Visitor_On_Ice,Home_On_Ice,Season,gameId,Visitor_Goalie_On_Ice,Home_Goalie_On_Ice,Visitor,Home,Visitor_Score,Home_Score,Difference
769,1,1,06:56,EV,WPG, B.WHEELER, T.ENSTROM, Z.BOGOSIAN,"['16', '18', '26', '39', '44', '67']","['2', '12', '19', '24', '29', '35']",2014,20139,False,True,WPG,N.J,1,0,1
1001,6,3,19:52,PP,DET, T.TATAR, A.NESTRASIL, J.KINDL,"['4', '15', '21', '43', '49']","['5', '8', '28', '30']",2014,20185,False,True,DET,NYR,4,3,1
3278,1,2,09:10,EV,NYR, D.BRASSARD, J.MILLER, M.STAAL,"['10', '12', '16', '18', '22', '28']","['4', '6', '17', '21', '39', '80']",2014,20597,False,True,NYR,ANA,1,0,1
4343,1,1,10:57,EV,COL, T.BARRIE, A.TANGUAY, J.IGINLA,"['4', '5', '9', '12', '29', '40']","['2', '14', '19', '21', '31', '44']",2014,20790,False,True,COL,WPG,1,0,1
4618,1,1,19:44,EV,T.B, S.STAMKOS, A.STRALMAN, V.FILPPULA,"['6', '17', '51', '86', '89', '91']","['27', '31', '50', '57', '68', '80']",2014,20837,False,True,T.B,S.J,1,0,1
5901,1,1,00:33,EV,BOS, P.BERGERON, B.MARCHAND, A.MCQUAID,"['18', '34', '37', '44', '54', '63']","['6', '24', '30', '51', '77', '90']",2014,21080,False,True,BOS,T.B,1,0,1
6752,3,1,16:38,EV,NYR, K.KLEIN, K.YANDLE, J.MILLER,"['8', '10', '16', '24', '25', '93']","['2', '7', '11', '28', '50', '65']",2015,20002,False,True,NYR,CHI,2,1,1
7157,5,3,09:50,EV,STL, V.TARASENKO, S.GOMEZ, C.GUNNARSSON,"['4', '12', '20', '55', '91', '93']","['5', '8', '16', '18', '26', '31']",2015,20076,False,True,STL,WPG,3,2,1
7741,3,3,10:12,SH,PIT, E.FEHR, R.SCUDERI, B.LOVEJOY,"['4', '7', '12', '16', '71']","['6', '17', '22', '27', '30', '33']",2015,20183,False,True,PIT,VAN,3,0,3
8169,4,2,16:24,EV,DET, R.SHEAHAN, L.GLENDENING, M.GREEN,"['15', '25', '40', '41', '43', '55']","['5', '7', '41', '46', '61', '68']",2015,20264,False,True,DET,OTT,3,1,2
9573,2,2,03:13,EV,TOR, M.GRABNER, N.KADRI, M.RIELLY,"['2', '40', '42', '43', '44', '47']","['1', '14', '18', '29', '37', '91']",2015,20528,False,True,TOR,NYI,2,0,2
9919,1,1,17:22,EV,MIN, Z.PARISE, M.GRANLUND, R.SUTER,"['11', '20', '26', '29', '46', '64']","['18', '25', '27', '31', '41', '58']",2015,20593,False,True,MIN,CBJ,1,0,1
10240,5,OT,03:25,EV,VAN, B.HORVAT, R.VRBATA, C.TANEV,"['8', '17', '33', '53']","['16', '27', '30', '65']",2015,20656,False,True,VAN,CAR,3,2,1
10353,1,2,01:16,EV,COL, C.SODERBERG, N.HOLDEN, B.COMEAU,"['2', '4', '9', '14', '34', '92']","['16', '18', '26', '30', '39', '57']",2015,20679,False,True,COL,WPG,1,0,1
10380,3,2,15:10,EV,TOR, J.LUPUL, D.PHANEUF, N.KADRI,"['3', '19', '42', '43', '46', '47']","['20', '21', '24', '35', '53', '82']",2015,20684,False,True,TOR,PHI,2,1,1
10532,6,3,06:42,EV,ANA, R.KESLER, R.GETZLAF, J.SILFVERBERG,"['2', '15', '17', '33', '47', '57']","['2', '15', '17', '25', '26', '35']",2015,20713,False,True,ANA,DET,4,2,2
11571,1,1,03:16,EV,NSH, V.ARVIDSSON, J.NEAL, C.WILSON,"['4', '12', '14', '18', '33', '38']","['17', '39', '42', '45', '53', '76']",2015,20891,False,True,NSH,MTL,1,0,1
14718,2,1,13:18,EV,NYR, D.GIRARDI, K.HAYES, J.MILLER,"['5', '10', '13', '27', '36', '93']","['2', '33', '44', '67', '83', '93']",2016,20228,False,True,NYR,EDM,2,0,2
18249,1,1,01:31,EV,STL, V.TARASENKO, J.SCHWARTZ, J.EDMUNDSON,"['6', '17', '21', '55', '57', '91']","['4', '15', '40', '56', '73', '77']",2016,20858,False,True,STL,BUF,1,0,1
18304,1,1,15:05,EV,FLA, J.HUBERDEAU, A.BARKOV, V.TROCHECK,"['3', '11', '16', '21', '55', '68']","['6', '12', '21', '22', '27', '31']",2016,20868,False,True,FLA,L.A,1,0,1
19350,6,3,05:30,EV,WSH, J.CARLSON, T.OSHIE, N.BACKSTROM,"['8', '19', '27', '74', '77', '92']","['5', '6', '17', '27', '65', '88']",2016,21057,False,True,WSH,T.B,4,2,2
20671,4,3,05:18,EV,OTT, M.STONE, M.BOROWIECKI, D.BRASSARD,"['2', '9', '19', '61', '74']","['7', '10', '27', '41', '93']",2017,20061,False,True,OTT,CGY,4,0,4
21056,1,1,01:56,EV,S.J, L.COUTURE, B.BURNS, M.BOEDKER,"['27', '39', '47', '50', '88', '89']","['10', '20', '30', '51', '55', '76']",2017,20124,False,True,S.J,NYR,1,0,1
21244,3,OT,04:59,EV,L.A, T.TOFFOLI, A.KOPITAR,,"['8', '11', '70', '73']","['10', '40', '47', '88']",2017,20156,False,True,L.A,BOS,2,1,1
22196,4,3,07:19,EV,N.J, W.BUTCHER, A.HENRIQUE, B.LOVEJOY,"['8', '9', '12', '14', '21', '40']","['7', '17', '20', '24', '40', '63']",2017,20314,False,True,N.J,MIN,3,1,2
23146,3,2,01:01,EV,DAL, R.ELIE, D.SHORE, J.KLINGBERG,"['3', '17', '29', '40', '90', '91']","['7', '13', '16', '41', '44', '50']",2017,20476,False,True,DAL,NYI,3,0,3
23185,1,1,01:21,EV,N.J, S.NOESEN, A.GREENE, J.BRATT,"['6', '11', '23', '28', '37', '63']","['8', '26', '27', '31', '65', '92']",2017,20482,False,True,N.J,MTL,1,0,1
24228,3,3,10:54,EV,CAR, V.RASK,unassisted,,"['5', '16', '23', '27', '49', '86']","['8', '19', '22', '43', '44', '70']",2017,20663,False,True,CAR,WSH,2,1,1
24352,5,OT,02:59,EV,DAL, T.SEGUIN, J.KLINGBERG, J.BENN,"['3', '14', '47', '91']","['35', '48', '51', '88']",2017,20683,False,True,DAL,BOS,3,2,1
24745,2,1,14:21,EV,CGY, M.GIORDANO, D.HAMILTON, J.GAUDREAU,"['5', '13', '19', '23', '27', '79']","['4', '25', '29', '33', '91', '97']",2017,20755,False,True,CGY,EDM,2,0,2
26137,1,1,15:36,EV,MIN, Z.PARISE, N.NIEDERREITER, J.ERIKSSON EK,"['11', '14', '20', '22', '26', '46']","['15', '25', '32', '33', '44', '48']",2017,20988,False,True,MIN,ARI,1,0,1
26716,2,1,06:39,EV,TOR, J.VAN RIEMSDYK, R.POLAK, J.GARDINER,"['15', '19', '24', '25', '46', '51']","['10', '17', '40', '82', '93', '95']",2017,21083,False,True,TOR,BUF,2,0,2
26955,2,2,09:28,EV,CBJ, A.PANARIN, I.COLE, M.LETESTU,"['9', '11', '23', '45', '55', '58']","['26', '30', '46', '58', '89', '90']",2017,21122,False,True,CBJ,NYR,2,0,2
26997,1,1,15:06,EV,TOR, J.VAN RIEMSDYK, M.MARNER, C.CARRICK,"['8', '16', '23', '25', '28', '42']","['17', '37', '55', '73', '88', '98']",2017,21127,False,True,TOR,T.B,1,0,1
604,8,3,09:20,EV,NYI, L.KOMAROV, V.FILPPULA, S.MAYFIELD,"['4', '12', '16', '24', '47', '51']","['3', '27', '28', '32', '44', '70']",2018,020097,False,True,NYI,L.A,6,2,4
