,G,Per,Time,Str,Team,Goal Scorer,Assist,Assist.1,Visitor on Ice,Home on Ice,Season,gameId,Visitor Goalie On Ice,Home Goalie On Ice,Visitor,Home,Visitor_Score,Home_Score,Against
6,3,1,16:38,EV,NYR,8 K.KLEIN(1),93 K.YANDLE(1),10 J.MILLER(2),"['8', '10', '16', '24', '25', '93']","['2', '7', '11', '28', '50', '65']",2015,20002,False,True,NYR,CHI,2,1,CHI
46,3,3,18:20,EV,CAR,12 E.STAAL(1),27 J.FAULK(1),,"['12', '16', '27', '49', '53', '65']","['6', '12', '15', '33', '35', '59']",2015,20009,False,True,CAR,NSH,1,2,NSH
126,8,3,18:39,EV,N.J,13 M.CAMMALLERI(1),unassisted,,"['6', '13', '18', '19', '22', '44']","['2', '25', '27', '70', '77', '83']",2015,20022,False,True,N.J,WSH,3,5,WSH
411,5,3,9:50,EV,STL,91 V.TARASENKO(5),93 S.GOMEZ(1),4 C.GUNNARSSON(3),"['4', '12', '20', '55', '91', '93']","['5', '8', '16', '18', '26', '31']",2015,20076,False,True,STL,WPG,3,2,WPG
431,4,3,19:09,EV,ARI,89 M.BOEDKER(1),23 O.EKMAN-LARSSON(2),26 M.STONE(2),"['8', '19', '23', '26', '50', '89']","['2', '8', '11', '16', '22', '35']",2015,20081,False,True,ARI,N.J,2,2,N.J
499,8,3,19:28,EV,N.J,20 L.STEMPNIAK(2),28 D.SEVERSON(3),13 M.CAMMALLERI(6),"['13', '14', '19', '20', '21', '28']","['2', '7', '9', '30', '61', '74']",2015,20094,False,True,N.J,OTT,4,4,OTT
695,3,1,11:09,EV,EDM,4 T.HALL(4),10 N.YAKUPOV(7),97 C.MCDAVID(5),"['4', '10', '62', '67', '88', '97']","['3', '14', '20', '26', '40', '46']",2015,20130,False,True,EDM,MIN,1,2,MIN
750,7,3,17:34,EV,BUF,26 M.MOULSON(3),90 R.O'REILLY(7),17 D.LEGWAND(1),"['3', '17', '26', '28', '29', '90']","['8', '9', '12', '37', '71', '72']",2015,20139,False,True,BUF,PIT,3,4,PIT
781,3,3,18:09,EV,TOR,19 J.LUPUL(3),3 D.PHANEUF(7),44 M.RIELLY(3),"['3', '19', '21', '42', '43', '44']","['5', '19', '26', '27', '28', '30']",2015,20146,False,True,TOR,NYR,1,2,NYR
790,5,3,19:28,EV,COL,34 C.SODERBERG(1),92 G.LANDESKOG(3),14 B.COMEAU(3),"['6', '9', '14', '32', '34', '92']","['11', '14', '23', '27', '30', '65']",2015,20148,False,True,COL,CAR,2,3,CAR
995,3,3,10:12,SH,PIT,16 E.FEHR(2),4 R.SCUDERI(4),12 B.LOVEJOY(2),"['4', '7', '12', '16', '71']","['6', '17', '22', '27', '30', '33']",2015,20183,False,True,PIT,VAN,3,0,VAN
1057,6,3,18:34,EV,CHI,67 T.KERO(1),72 A.PANARIN(10),86 T.TERAVAINEN(3),"['52', '56', '57', '67', '72', '86']","['2', '8', '11', '16', '22', '35']",2015,20195,False,True,CHI,N.J,2,4,N.J
1073,5,3,19:00,EV,CBJ,43 S.HARTNELL(7),20 B.SAAD(3),,"['7', '13', '17', '19', '20', '43']","['2', '4', '10', '15', '17', '31']",2015,20199,False,True,CBJ,ANA,2,3,ANA
1142,5,3,18:09,EV,EDM,2 A.SEKERA(1),16 T.PURCELL(3),25 D.NURSE(2),"['2', '14', '16', '25', '58', '93']","['4', '15', '50', '57', '72', '88']",2015,20214,False,True,EDM,CHI,2,3,CHI
1261,5,3,19:36,PP,VAN,23 A.EDLER(4),33 H.SEDIN(8),,"['6', '17', '22', '23', '33', '36']","['3', '5', '9', '15', '30']",2015,20234,False,True,VAN,OTT,2,3,OTT
1345,8,3,19:22,PP,FLA,5 A.EKBLAD(3),18 R.SMITH(5),63 D.BOLLAND(4),"['5', '11', '18', '23', '27', '63']","['5', '22', '30', '51', '62']",2015,20251,False,True,FLA,T.B,4,4,T.B
