,G,Per,Time,Str,Team,Goal Scorer,Assist,Assist.1,Visitor_On_Ice,Home_On_Ice,Season,gameId,Visitor_Goalie_On_Ice,Home_Goalie_On_Ice,Visitor,Home,Visitor_Score,Home_Score,Difference
54,4,3,09:16,EV,FLA, J.HUBERDEAU, B.CAMPBELL, A.EKBLAD,"['5', '11', '16', '24', '36', '51']","['5', '7', '17', '24', '30', '51']",2014,20010,False,True,FLA,T.B,2,2,0
356,5,3,17:29,EV,COL, M.DUCHENE, J.IGINLA, T.BARRIE,"['4', '6', '9', '11', '12', '40']","['8', '27', '31', '74', '77', '81']",2014,20064,False,True,COL,MTL,2,3,-1
769,1,1,06:56,EV,WPG, B.WHEELER, T.ENSTROM, Z.BOGOSIAN,"['16', '18', '26', '39', '44', '67']","['2', '12', '19', '24', '29', '35']",2014,20139,False,True,WPG,N.J,1,0,1
790,7,3,19:06,EV,PHI, M.RAFFL, J.VORACEK, C.GIROUX,"['12', '14', '15', '28', '32', '93']","['5', '11', '25', '27', '30', '91']",2014,20142,False,True,PHI,T.B,3,4,-1
860,3,3,19:52,EV,PHI, V.LECAVALIER, J.VORACEK, W.SIMMONDS,"['15', '17', '28', '32', '40', '93']","['1', '7', '17', '24', '33', '82']",2014,20156,False,True,PHI,FLA,1,2,-1
1001,6,3,19:52,PP,DET, T.TATAR, A.NESTRASIL, J.KINDL,"['4', '15', '21', '43', '49']","['5', '8', '28', '30']",2014,20185,False,True,DET,NYR,4,3,1
1036,7,3,19:09,EV,N.J, M.RYDER, J.JAGR, P.ELIAS,"['17', '19', '22', '26', '28', '68']","['19', '20', '26', '27', '34', '42']",2014,20191,False,True,N.J,STL,3,4,-1
1054,6,3,18:44,EV,TOR, R.PANIK, M.SANTORELLI, P.KESSEL,"['3', '18', '24', '25', '46', '81']","['4', '5', '9', '11', '20', '90']",2014,20194,False,True,TOR,COL,3,3,0
1546,6,3,15:47,EV,T.B, S.STAMKOS, N.KUCHEROV,,"['17', '18', '25', '62', '86', '91']","['3', '12', '24', '26', '45', '71']",2014,20281,False,True,T.B,TOR,2,4,-2
1652,3,3,19:17,EV,FLA, R.GRIMALDI, B.CAMPBELL, A.EKBLAD,"['5', '21', '23', '24', '36', '51']","['6', '24', '28', '35', '41', '59']",2014,20302,False,True,FLA,NSH,1,2,-1
1653,4,3,19:29,EV,FLA, N.BJUGSTAD, J.HAYES,,"['5', '11', '12', '23', '27', '51']","['6', '15', '19', '33', '35', '59']",2014,20302,False,True,FLA,NSH,2,2,0
1726,7,3,19:25,EV,OTT, C.NEIL, M.HOFFMAN, Z.SMITH,"['5', '15', '25', '46', '61', '68']","['4', '8', '35', '40', '41', '61']",2014,20314,False,True,OTT,DET,3,4,-1
1741,4,3,19:19,EV,OTT, A.CHIASSON, M.HOFFMAN, C.MACARTHUR,"['6', '7', '16', '65', '68', '90']","['5', '20', '26', '27', '34', '42']",2014,20317,False,True,OTT,STL,2,2,0
1768,5,3,19:34,EV,CGY, J.HUDLER, M.GIORDANO, T.BRODIE,"['5', '7', '20', '23', '24', '86']","['4', '12', '17', '21', '31', '42']",2014,20322,False,True,CGY,ANA,2,3,-1
1872,8,3,18:08,EV,MIN, T.VANEK, R.SUTER, Z.PARISE,"['9', '11', '20', '26', '29', '64']","['4', '6', '14', '20', '32', '91']",2014,20343,False,True,MIN,DAL,4,4,0
