Goal Scorer,G
 A.ANISIMOV,1
 J.WILLIAMS,1
 K.BRODZIAK,1
 K.CLIFFORD,1
 K.FIALA,1
 K.HAYES,1
 K.LETANG,1
 K.OKPOSO,1
 K.VERSTEEG,1
 L.DRAISAITL,1
 L.ERIKSSON,1
 Z.SMITH,1
 L.KOMAROV,1
 L.STEMPNIAK,1
 M.BENNING,1
 M.GRABNER,1
 M.JANMARK,1
 M.KEMPE,1
 M.LETESTU,1
 M.LUCIC,1
 M.MOULSON,1
 M.RAFFL,1
 M.RANTANEN,1
 L.SBISA,1
 M.RASMUSSEN,1
 J.WARD,1
 J.THORNTON,1
 H.LINDHOLM,1
 I.PROVOROV,1
 J.ANDERSON,1
 J.ARMIA,1
 J.BAILEY,1
 J.CARLSON,1
 J.DEMERS,1
 J.DONSKOI,1
 J.DROUIN,1
 J.EBERLE,1
 J.TOEWS,1
 J.GARDINER,1
 J.GUENTZEL,1
 J.IGINLA,1
 J.JOKINEN,1
 J.MARCHESSAULT,1
 J.MITCHELL,1
 J.MORROW,1
 J.OLEKSIAK,1
 J.PAGEAU,1
 J.PETRY,1
 J.SCHWARTZ,1
 J.GAUDREAU,1
 G.SMITH,1
 M.STAAL,1
 M.ZUCCARELLO,1
 R.STROME,1
 R.SUTER,1
 R.VRBATA,1
 S.ANDRIGHETTO,1
 S.BAERTSCHI,1
 S.JOHNS,1
 S.NOESEN,1
 T.BERTUZZI,1
 T.BOZAK,1
 T.JURCO,1
 R.SPOONER,1
 T.KERO,1
 T.PEARSON,1
 T.PULKKINEN,1
 V.FIDDLER,1
 V.FILPPULA,1
 V.LECAVALIER,1
 V.RASK,1
 V.SOBOTKA,1
 V.TROCHECK,1
 W.BUTCHER,1
 Z.BOGOSIAN,1
 T.OSHIE,1
 M.VLASIC,1
 R.SHEAHAN,1
 R.NASH,1
 N.BJUGSTAD,1
 N.COUSINS,1
 N.EHLERS,1
 N.HOLDEN,1
 N.KADRI,1
 N.LAPPIN,1
