Against,Team,G
ANA,BOS,1
ANA,BUF,1
ANA,CBJ,2
ANA,CHI,3
ANA,DAL,1
ANA,DET,1
ANA,EDM,2
ANA,FLA,1
ANA,L.A,1
ANA,MTL,1
ANA,N.J,2
ANA,S.J,1
ANA,STL,1
ANA,VGK,1
ANA,WPG,1
ARI,ANA,2
ARI,COL,1
ARI,L.A,1
ARI,MIN,1
ARI,MTL,1
ARI,NSH,1
ARI,PHI,4
ARI,PIT,1
ARI,S.J,2
ARI,TOR,1
ARI,VAN,1
ARI,VGK,1
ARI,WPG,1
BOS,ARI,1
BOS,CGY,1
BOS,DAL,1
BOS,DET,1
BOS,FLA,1
BOS,L.A,1
BOS,NSH,2
BOS,NYI,1
BOS,STL,2
BOS,T.B,1
BOS,TOR,2
BUF,ARI,1
BUF,BOS,1
BUF,CBJ,1
BUF,CGY,1
BUF,CHI,1
BUF,DET,1
BUF,FLA,1
BUF,MIN,2
BUF,NYI,1
BUF,OTT,3
BUF,PHI,4
BUF,STL,1
BUF,TOR,2
CAR,ARI,1
CAR,BOS,1
CAR,BUF,1
CAR,CHI,1
CAR,COL,2
CAR,FLA,1
CAR,MIN,1
CAR,NSH,1
CAR,NYI,1
CAR,PHI,2
CAR,VAN,1
CAR,WPG,1
CAR,WSH,1
CBJ,BOS,1
CBJ,CAR,2
CBJ,DAL,1
CBJ,DET,3
CBJ,FLA,1
CBJ,L.A,3
CBJ,MIN,1
CBJ,N.J,1
CBJ,NYR,2
CBJ,PHI,3
CBJ,PIT,1
CBJ,T.B,1
CBJ,TOR,1
CBJ,VAN,1
CBJ,WPG,1
CBJ,WSH,1
CGY,CAR,2
CGY,CHI,3
CGY,COL,3
CGY,DET,1
CGY,FLA,1
CGY,L.A,2
CGY,NSH,1
CGY,NYR,1
CGY,OTT,2
CGY,PIT,1
CGY,T.B,2
CHI,COL,1
CHI,DAL,1
CHI,EDM,3
CHI,FLA,1
CHI,MIN,2
CHI,NSH,1
CHI,NYR,1
CHI,STL,3
CHI,VAN,1
CHI,WSH,1
COL,BUF,1
COL,CBJ,1
COL,CGY,1
COL,EDM,3
COL,FLA,1
COL,MIN,1
COL,N.J,1
COL,NSH,2
COL,NYR,1
COL,OTT,1
COL,PIT,1
COL,S.J,1
COL,STL,1
COL,TOR,2
COL,VAN,2
COL,WPG,2
COL,WSH,1
DAL,ARI,1
DAL,CBJ,1
DAL,NSH,1
DAL,PHI,1
DAL,PIT,1
DAL,STL,1
DAL,TOR,2
DAL,VAN,1
DAL,VGK,1
DAL,WPG,2
DET,ANA,1
DET,BOS,1
DET,BUF,1
DET,CAR,2
DET,CGY,2
DET,COL,1
DET,DAL,2
DET,EDM,2
DET,FLA,1
DET,N.J,1
DET,NSH,1
DET,NYI,1
DET,OTT,1
DET,PHI,1
DET,PIT,2
DET,S.J,1
DET,TOR,4
DET,WSH,2
EDM,ANA,4
EDM,ARI,1
EDM,BUF,1
EDM,CGY,1
EDM,COL,2
EDM,DET,2
EDM,MTL,1
EDM,NSH,1
EDM,NYR,2
EDM,VAN,1
EDM,WSH,1
FLA,ANA,2
FLA,BUF,1
FLA,CHI,1
FLA,DET,1
FLA,EDM,1
FLA,L.A,1
FLA,N.J,2
FLA,NYI,1
FLA,OTT,1
FLA,PHI,1
