Team,Against,G
ANA,ARI,2
ANA,DET,1
ANA,EDM,4
ANA,FLA,2
ANA,MTL,1
ANA,N.J,1
ANA,NYI,2
ANA,NYR,1
ANA,OTT,2
ANA,STL,1
ANA,WSH,1
ARI,BOS,1
ARI,BUF,1
ARI,CAR,1
ARI,DAL,1
ARI,EDM,1
ARI,L.A,1
ARI,MIN,2
ARI,N.J,1
ARI,NYI,1
ARI,PHI,1
ARI,STL,1
ARI,VAN,1
ARI,WPG,1
ARI,WSH,1
BOS,ANA,1
BOS,BUF,1
BOS,CAR,1
BOS,CBJ,1
BOS,DET,1
BOS,MTL,1
BOS,N.J,1
BOS,PHI,2
BOS,T.B,1
BOS,VGK,1
BUF,ANA,1
BUF,CAR,1
BUF,COL,1
BUF,DET,1
BUF,EDM,1
BUF,FLA,1
BUF,MTL,1
BUF,N.J,1
BUF,NSH,2
BUF,PIT,2
BUF,STL,1
BUF,VAN,2
BUF,VGK,3
BUF,WPG,1
BUF,WSH,1
CAR,CBJ,2
CAR,CGY,2
CAR,DET,2
CAR,L.A,1
CAR,MIN,1
CAR,N.J,1
CAR,NSH,1
CAR,NYI,1
CAR,OTT,2
CAR,PHI,1
CAR,T.B,2
CAR,TOR,1
CAR,WSH,1
CBJ,ANA,2
CBJ,BUF,1
CBJ,COL,1
CBJ,DAL,1
CBJ,MIN,1
CBJ,NYI,2
CBJ,NYR,1
CBJ,OTT,2
CBJ,PHI,2
CBJ,STL,1
CBJ,T.B,1
CBJ,VAN,2
CBJ,WPG,2
CBJ,WSH,1
CGY,BOS,1
CGY,BUF,1
CGY,COL,1
CGY,DET,2
CGY,EDM,1
CGY,MTL,1
CGY,NSH,1
CGY,PHI,2
CGY,S.J,3
CGY,VAN,1
CGY,WPG,1
CGY,WSH,1
CHI,ANA,3
CHI,BUF,1
CHI,CAR,1
CHI,CGY,3
CHI,FLA,1
CHI,L.A,1
CHI,N.J,2
CHI,NYI,1
CHI,OTT,1
CHI,STL,2
CHI,T.B,1
CHI,TOR,4
CHI,VAN,1
CHI,WPG,1
CHI,WSH,1
COL,ARI,1
COL,CAR,2
COL,CGY,3
COL,CHI,1
COL,DET,1
COL,EDM,2
COL,L.A,1
COL,MIN,2
