,assists,decision,evenSaves,evenShotsAgainst,evenStrengthSavePercentage,game_id,goals,pim,powerPlaySavePercentage,powerPlaySaves,powerPlayShotsAgainst,savePercentage,saves,shortHandedSavePercentage,shortHandedSaves,shortHandedShotsAgainst,shots,timeOnIce
0,0,L,20,22,90.9090909090909,020001,0,0,75.0,3,4,88.46153846153845,23,,0,0,26,61:01
1,0,W,29,30,96.66666666666667,020001,0,0,83.33333333333334,5,6,94.44444444444444,34,,0,0,36,61:01
2,0,,7,8,87.5,020002,0,0,83.33333333333334,5,6,88.88888888888889,16,100.0,4,4,18,32:32
3,0,L,13,15,86.66666666666667,020002,0,0,25.0,1,4,73.68421052631578,14,,0,0,19,27:28
4,1,W,20,20,100.0,020002,0,0,100.0,2,2,100.0,25,100.0,3,3,25,59:56
5,0,L,13,17,76.47058823529412,020003,0,0,100.0,3,3,81.81818181818183,18,100.0,2,2,22,58:37
6,0,W,25,27,92.5925925925926,020003,0,0,100.0,6,6,94.28571428571428,33,100.0,2,2,35,60:00
7,0,L,10,12,83.33333333333334,020004,0,0,0.0,0,2,71.42857142857143,10,,0,0,14,58:54
8,0,W,30,31,96.7741935483871,020004,0,0,100.0,1,1,93.93939393939394,31,0.0,0,1,33,60:00
9,0,W,30,30,100.0,020005,0,0,100.0,2,2,100.0,32,,0,0,32,60:00
10,0,L,21,23,91.30434782608695,020005,0,0,0.0,0,1,88.0,22,100.0,1,1,25,55:09
11,0,L,28,30,93.33333333333333,020006,0,0,100.0,2,2,93.75,30,,0,0,32,58:52
12,0,W,33,35,94.28571428571428,020006,0,0,100.0,1,1,94.44444444444444,34,,0,0,36,60:00
13,0,L,30,35,85.71428571428571,020007,0,0,50.0,2,4,82.92682926829268,34,100.0,2,2,41,61:20
14,0,W,24,30,80.0,020007,0,0,100.0,2,2,83.33333333333334,30,100.0,4,4,36,61:20
15,0,W,40,41,97.5609756097561,020008,0,0,100.0,3,3,97.82608695652173,45,100.0,2,2,46,60:43
